Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Controller,Lane ID
0.000000,-972.640064,,24.975776,25.000000,-0.242237,-0.242237,-2.422370,IDM,Mainline
0.100000,-970.143605,,24.953392,25.000000,-0.223838,-0.223838,0.183987,IDM,Mainline
0.200000,-967.649300,,24.932706,25.000000,-0.206864,-0.206864,0.169745,IDM,Mainline
0.300000,-965.156986,,24.913586,25.000000,-0.191200,-0.191200,0.156642,IDM,Mainline
0.400000,-962.666511,,24.895912,25.000000,-0.176742,-0.176742,0.144581,IDM,Mainline
0.500000,-960.177736,,24.879573,25.000000,-0.163394,-0.163394,0.133475,IDM,Mainline
0.600000,-957.690535,,24.864466,25.000000,-0.151070,-0.151070,0.123244,IDM,Mainline
0.700000,-955.204786,,24.850497,25.000000,-0.139688,-0.139688,0.113815,IDM,Mainline
0.800000,-952.720383,,24.837579,25.000000,-0.129176,-0.129176,0.105123,IDM,Mainline
0.900000,-950.237222,,24.825633,25.000000,-0.119465,-0.119465,0.097107,IDM,Mainline
1.000000,-947.755211,,24.814583,25.000000,-0.110494,-0.110494,0.089713,IDM,Mainline
1.100000,-945.274264,,24.804363,25.000000,-0.102205,-0.102205,0.082891,IDM,Mainline
1.200000,-942.794300,,24.794908,25.000000,-0.094545,-0.094545,0.076595,IDM,Mainline
1.300000,-940.315247,,24.786161,25.000000,-0.087467,-0.087467,0.070783,IDM,Mainline
1.400000,-937.837035,,24.778069,25.000000,-0.080925,-0.080925,0.065417,IDM,Mainline
1.500000,-935.359603,,24.770581,25.000000,-0.074879,-0.074879,0.060462,IDM,Mainline
1.600000,-932.882891,,24.763652,25.000000,-0.069291,-0.069291,0.055885,IDM,Mainline
1.700000,-930.406847,,24.757239,25.000000,-0.064125,-0.064125,0.051657,IDM,Mainline
1.800000,-927.931420,,24.751304,25.000000,-0.059350,-0.059350,0.047751,IDM,Mainline
1.900000,-925.456564,,24.745811,25.000000,-0.054936,-0.054936,0.044142,IDM,Mainline
2.000000,-922.982237,,24.740725,25.000000,-0.050855,-0.050855,0.040807,IDM,Mainline
2.100000,-920.508400,,24.736017,25.000000,-0.047083,-0.047083,0.037725,IDM,Mainline
2.200000,-918.035016,,24.731658,25.000000,-0.043595,-0.043595,0.034877,IDM,Mainline
2.300000,-915.562052,,24.727621,25.000000,-0.040371,-0.040371,0.032244,IDM,Mainline
2.400000,-913.089477,,24.723882,25.000000,-0.037390,-0.037390,0.029810,IDM,Mainline
2.500000,-910.617262,,24.720418,25.000000,-0.034634,-0.034634,0.027560,IDM,Mainline
2.600000,-908.145381,,24.717210,25.000000,-0.032086,-0.032086,0.025480,IDM,Mainline
2.700000,-905.673808,,24.714237,25.000000,-0.029730,-0.029730,0.023557,IDM,Mainline
2.800000,-903.202523,,24.711481,25.000000,-0.027552,-0.027552,0.021779,IDM,Mainline
2.900000,-900.731502,,24.708928,25.000000,-0.025539,-0.025539,0.020135,IDM,Mainline
3.000000,-898.260728,,24.706560,25.000000,-0.023677,-0.023677,0.018615,IDM,Mainline
3.100000,-895.790181,,24.704364,25.000000,-0.021956,-0.021956,0.017210,IDM,Mainline
3.200000,-893.319847,,24.702328,25.000000,-0.020365,-0.020365,0.015911,IDM,Mainline
3.300000,-890.849709,,24.700438,25.000000,-0.018894,-0.018894,0.014709,IDM,Mainline
3.400000,-888.379752,,24.698685,25.000000,-0.017534,-0.017534,0.013598,IDM,Mainline
