Time,Position,Reference Position,Velocity,Reference Velocity,Acceleration,Input Acceleration,Jerk,Fuel Consumption,Controller,Lane ID
0.000000,-198.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,26.502480,MOBIL,On-ramp
0.100000,-196.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,53.004960,MOBIL,On-ramp
0.200000,-194.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,79.507440,MOBIL,On-ramp
0.300000,-192.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,106.009920,MOBIL,On-ramp
0.400000,-190.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,132.512400,MOBIL,On-ramp
0.500000,-188.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,159.014880,MOBIL,On-ramp
0.600000,-186.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,185.517360,MOBIL,On-ramp
0.700000,-184.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,212.019840,MOBIL,On-ramp
0.800000,-182.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,238.522320,MOBIL,On-ramp
0.900000,-180.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,265.024800,MOBIL,On-ramp
1.000000,-178.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,291.527280,MOBIL,On-ramp
1.100000,-176.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,318.029760,MOBIL,On-ramp
1.200000,-174.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,344.532240,MOBIL,On-ramp
1.300000,-172.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,371.034720,MOBIL,On-ramp
1.400000,-170.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,397.537200,MOBIL,On-ramp
1.500000,-168.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,424.039680,MOBIL,On-ramp
1.600000,-166.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,450.542160,MOBIL,On-ramp
1.700000,-164.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,477.044640,MOBIL,On-ramp
1.800000,-162.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,503.547120,MOBIL,On-ramp
1.900000,-160.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,530.049600,MOBIL,On-ramp
2.000000,-158.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,556.552080,MOBIL,On-ramp
2.100000,-156.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,583.054560,MOBIL,On-ramp
2.200000,-154.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,609.557040,MOBIL,On-ramp
2.300000,-152.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,636.059520,MOBIL,On-ramp
2.400000,-150.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,662.562000,MOBIL,On-ramp
2.500000,-148.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,689.064480,MOBIL,On-ramp
2.600000,-146.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,715.566960,MOBIL,On-ramp
2.700000,-144.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,742.069440,MOBIL,On-ramp
2.800000,-142.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,768.571920,MOBIL,On-ramp
2.900000,-140.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,795.074400,MOBIL,On-ramp
3.000000,-138.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,821.576880,MOBIL,On-ramp
3.100000,-136.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,848.079360,MOBIL,On-ramp
3.200000,-134.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,874.581840,MOBIL,On-ramp
3.300000,-132.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,901.084320,MOBIL,On-ramp
3.400000,-130.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,927.586800,MOBIL,On-ramp
3.500000,-128.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,954.089280,MOBIL,On-ramp
3.600000,-126.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,980.591760,MOBIL,On-ramp
3.700000,-124.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1007.094240,MOBIL,On-ramp
3.800000,-122.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1033.596720,MOBIL,On-ramp
3.900000,-120.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1060.099200,MOBIL,On-ramp
4.000000,-118.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1086.601680,MOBIL,On-ramp
4.100000,-116.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1113.104160,MOBIL,On-ramp
4.200000,-114.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1139.606640,MOBIL,On-ramp
4.300000,-112.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1166.109120,MOBIL,On-ramp
4.400000,-110.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1192.611600,MOBIL,On-ramp
4.500000,-108.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1219.114080,MOBIL,On-ramp
4.600000,-106.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1245.616560,MOBIL,On-ramp
4.700000,-104.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1272.119040,MOBIL,On-ramp
4.800000,-102.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1298.621520,MOBIL,On-ramp
4.900000,-100.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1325.124000,MOBIL,On-ramp
5.000000,-98.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1351.626480,MOBIL,On-ramp
5.100000,-96.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1378.128960,MOBIL,On-ramp
5.200000,-94.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1404.631440,MOBIL,On-ramp
5.300000,-92.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1431.133920,MOBIL,On-ramp
5.400000,-90.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1457.636400,MOBIL,On-ramp
5.500000,-88.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1484.138880,MOBIL,On-ramp
5.600000,-86.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1510.641360,MOBIL,On-ramp
5.700000,-84.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1537.143840,MOBIL,On-ramp
5.800000,-82.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1563.646320,MOBIL,On-ramp
5.900000,-80.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1590.148800,MOBIL,On-ramp
6.000000,-78.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1616.651280,MOBIL,On-ramp
6.100000,-76.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1643.153760,MOBIL,On-ramp
6.200000,-74.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1669.656240,MOBIL,On-ramp
6.300000,-72.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1696.158720,MOBIL,On-ramp
6.400000,-70.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1722.661200,MOBIL,On-ramp
6.500000,-68.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1749.163680,MOBIL,On-ramp
6.600000,-66.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1775.666160,MOBIL,On-ramp
6.700000,-64.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1802.168640,MOBIL,On-ramp
6.800000,-62.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1828.671120,MOBIL,On-ramp
6.900000,-60.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1855.173600,MOBIL,On-ramp
7.000000,-58.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1881.676080,MOBIL,On-ramp
7.100000,-56.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1908.178560,MOBIL,On-ramp
7.200000,-54.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1934.681040,MOBIL,On-ramp
7.300000,-52.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1961.183520,MOBIL,On-ramp
7.400000,-50.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,1987.686000,MOBIL,On-ramp
7.500000,-48.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2014.188480,MOBIL,On-ramp
7.600000,-46.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2040.690960,MOBIL,On-ramp
7.700000,-44.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2067.193440,MOBIL,On-ramp
7.800000,-42.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2093.695920,MOBIL,On-ramp
7.900000,-40.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2120.198400,MOBIL,On-ramp
8.000000,-38.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2146.700880,MOBIL,On-ramp
8.100000,-36.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2173.203360,MOBIL,On-ramp
8.200000,-34.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2199.705840,MOBIL,On-ramp
8.300000,-32.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2226.208320,MOBIL,On-ramp
8.400000,-30.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2252.710800,MOBIL,On-ramp
8.500000,-28.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2279.213280,MOBIL,On-ramp
8.600000,-26.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2305.715760,MOBIL,On-ramp
8.700000,-24.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2332.218240,MOBIL,On-ramp
8.800000,-22.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2358.720720,MOBIL,On-ramp
8.900000,-20.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2385.223200,MOBIL,On-ramp
9.000000,-18.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2411.725680,MOBIL,On-ramp
9.100000,-16.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2438.228160,MOBIL,On-ramp
9.200000,-14.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2464.730640,MOBIL,On-ramp
9.300000,-12.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2491.233120,MOBIL,On-ramp
9.400000,-10.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2517.735600,MOBIL,On-ramp
9.500000,-8.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2544.238080,MOBIL,On-ramp
9.600000,-6.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2570.740560,MOBIL,On-ramp
9.700000,-4.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2597.243040,MOBIL,On-ramp
9.800000,-2.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2623.745520,MOBIL,On-ramp
9.900000,0.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2650.248000,MOBIL,On-ramp
10.000000,2.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2676.750480,MOBIL,On-ramp
10.100000,4.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2703.252960,MOBIL,On-ramp
10.200000,6.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2729.755440,MOBIL,On-ramp
10.300000,8.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2756.257920,MOBIL,On-ramp
10.400000,10.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2782.760400,MOBIL,On-ramp
10.500000,12.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2809.262880,MOBIL,On-ramp
10.600000,14.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2835.765360,MOBIL,On-ramp
10.700000,16.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2862.267840,MOBIL,On-ramp
10.800000,18.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2888.770320,MOBIL,On-ramp
10.900000,20.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2915.272800,MOBIL,On-ramp
11.000000,22.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2941.775280,MOBIL,On-ramp
11.100000,24.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2968.277760,MOBIL,On-ramp
11.200000,26.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,2994.780240,MOBIL,On-ramp
11.300000,28.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3021.282720,MOBIL,On-ramp
11.400000,30.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3047.785200,MOBIL,On-ramp
11.500000,32.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3074.287680,MOBIL,On-ramp
11.600000,34.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3100.790160,MOBIL,On-ramp
11.700000,36.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3127.292640,MOBIL,On-ramp
11.800000,38.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3153.795120,MOBIL,On-ramp
11.900000,40.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3180.297600,MOBIL,On-ramp
12.000000,42.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3206.800080,MOBIL,On-ramp
12.100000,44.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3233.302560,MOBIL,On-ramp
12.200000,46.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3259.805040,MOBIL,On-ramp
12.300000,48.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3286.307520,MOBIL,On-ramp
12.400000,50.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3312.810000,MOBIL,On-ramp
12.500000,52.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3339.312480,MOBIL,On-ramp
12.600000,54.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3365.814960,MOBIL,On-ramp
12.700000,56.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3392.317440,MOBIL,On-ramp
12.800000,58.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3418.819920,MOBIL,On-ramp
12.900000,60.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3445.322400,MOBIL,On-ramp
13.000000,62.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3471.824880,MOBIL,On-ramp
13.100000,64.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3498.327360,MOBIL,On-ramp
13.200000,66.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3524.829840,MOBIL,On-ramp
13.300000,68.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3551.332320,MOBIL,On-ramp
13.400000,70.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3577.834800,MOBIL,On-ramp
13.500000,72.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3604.337280,MOBIL,On-ramp
13.600000,74.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3630.839760,MOBIL,On-ramp
13.700000,76.000000,,20.000000,20.000000,0.000000,0.000000,0.000000,3657.342240,MOBIL,On-ramp
