Time,Position,Target_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.066600,Stop,On-ramp
0.100000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.133200,Stop,On-ramp
0.200000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.199800,Stop,On-ramp
0.300000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.266400,Stop,On-ramp
0.400000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.333000,Stop,On-ramp
0.500000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.399600,Stop,On-ramp
0.600000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.466200,Stop,On-ramp
0.700000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.532800,Stop,On-ramp
0.800000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.599400,Stop,On-ramp
0.900000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.666000,Stop,On-ramp
1.000000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.732600,Stop,On-ramp
1.100000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.799200,Stop,On-ramp
1.200000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.865800,Stop,On-ramp
1.300000,300.000000,,0.000000,20.000000,0.000000,0.000000,0.000000,0.932400,Stop,On-ramp
