Time,Position,Reference_Position,Velocity,Reference_Velocity,Acceleration,Input_Acceleration,Jerk,Fuel_Consumption,Controller,Lane_ID
0.000000,-72.510540,,24.789191,25.000000,-2.108089,-2.108089,-21.080889,0.066600,IDM,Mainline
0.100000,-70.041302,,24.595582,25.000000,-1.936088,-1.936088,1.720007,0.133200,IDM,Mainline
0.200000,-67.590653,,24.417387,25.000000,-1.781953,-1.781953,1.541354,0.199800,IDM,Mainline
0.300000,-65.157131,,24.253065,25.000000,-1.643222,-1.643222,1.387303,0.266400,IDM,Mainline
0.400000,-62.739414,,24.101279,25.000000,-1.517862,-1.517862,1.253605,0.333000,IDM,Mainline
0.500000,-60.336307,,23.960861,25.000000,-1.404173,-1.404173,1.136886,0.399600,IDM,Mainline
0.600000,-57.946724,,23.830788,25.000000,-1.300729,-1.300729,1.034438,0.466200,IDM,Mainline
0.700000,-55.569677,,23.710156,25.000000,-1.206323,-1.206323,0.944067,0.532800,IDM,Mainline
0.800000,-53.204261,,23.598164,25.000000,-1.119925,-1.119925,0.863983,0.599400,IDM,Mainline
0.900000,-50.849648,,23.494098,25.000000,-1.040653,-1.040653,0.792714,0.666000,IDM,Mainline
1.000000,-48.505077,,23.397323,25.000000,-0.967749,-0.967749,0.729039,0.732600,IDM,Mainline
1.100000,-46.169847,,23.307268,25.000000,-0.900555,-0.900555,0.671940,0.799200,IDM,Mainline
1.200000,-43.843313,,23.223418,25.000000,-0.838499,-0.838499,0.620563,0.865800,IDM,Mainline
1.300000,-41.524876,,23.145310,25.000000,-0.781080,-0.781080,0.574188,0.932400,IDM,Mainline
1.400000,-39.213985,,23.072524,25.000000,-0.727860,-0.727860,0.532201,0.999000,IDM,Mainline
1.500000,-36.910125,,23.004679,25.000000,-0.678452,-0.678452,0.494082,1.065600,IDM,Mainline
1.600000,-34.612819,,22.941427,25.000000,-0.632513,-0.632513,0.459384,1.132200,IDM,Mainline
1.700000,-32.321625,,22.882453,25.000000,-0.589741,-0.589741,0.427721,1.198800,IDM,Mainline
1.800000,-30.036129,,22.827467,25.000000,-0.549865,-0.549865,0.398761,1.265400,IDM,Mainline
1.900000,-27.755946,,22.776202,25.000000,-0.512644,-0.512644,0.372215,1.332000,IDM,Mainline
2.000000,-25.480715,,22.728416,25.000000,-0.477861,-0.477861,0.347832,1.398600,IDM,Mainline
2.100000,-23.210100,,22.683884,25.000000,-0.445321,-0.445321,0.325391,1.465200,IDM,Mainline
2.200000,-20.943786,,22.642399,25.000000,-0.414851,-0.414851,0.304701,1.531800,IDM,Mainline
2.300000,-18.681477,,22.603770,25.000000,-0.386292,-0.386292,0.285590,1.598400,IDM,Mainline
2.400000,-16.422898,,22.567820,25.000000,-0.359501,-0.359501,0.267910,1.665000,IDM,Mainline
2.500000,-14.167788,,22.534385,25.000000,-0.334349,-0.334349,0.251528,1.731600,IDM,Mainline
2.600000,-11.915903,,22.503313,25.000000,-0.310716,-0.310716,0.236326,1.798200,IDM,Mainline
2.700000,-9.667014,,22.474464,25.000000,-0.288496,-0.288496,0.222199,1.864800,IDM,Mainline
2.800000,-7.420906,,22.447704,25.000000,-0.267591,-0.267591,0.209053,1.931400,IDM,Mainline
2.900000,-5.177375,,22.422913,25.000000,-0.247910,-0.247910,0.196806,1.998000,IDM,Mainline
3.000000,-2.936230,,22.399976,25.000000,-0.229372,-0.229372,0.185381,2.064600,IDM,Mainline
3.100000,-0.697292,,22.378786,25.000000,-0.211901,-0.211901,0.174711,2.131200,IDM,Mainline
3.200000,1.539609,,22.359243,25.000000,-0.195427,-0.195427,0.164736,2.197800,IDM,Mainline
3.300000,3.774634,,22.341255,25.000000,-0.179887,-0.179887,0.155401,2.264400,IDM,Mainline
3.400000,6.007934,,22.324732,25.000000,-0.165222,-0.165222,0.146656,2.331000,IDM,Mainline
3.500000,8.239650,,22.309595,25.000000,-0.151376,-0.151376,0.138456,2.397600,IDM,Mainline
3.600000,10.469918,,22.295765,25.000000,-0.138300,-0.138300,0.130760,2.464200,IDM,Mainline
3.700000,12.698865,,22.283170,25.000000,-0.125947,-0.125947,0.123532,2.530800,IDM,Mainline
3.800000,14.926610,,22.271743,25.000000,-0.114273,-0.114273,0.116736,2.597400,IDM,Mainline
3.900000,17.153269,,22.261419,25.000000,-0.103239,-0.103239,0.110343,2.664000,IDM,Mainline
4.000000,19.378946,,22.252138,25.000000,-0.092806,-0.092806,0.104324,2.730600,IDM,Mainline
4.100000,21.603746,,22.243844,25.000000,-0.082941,-0.082941,0.098654,2.797200,IDM,Mainline
4.200000,23.827762,,22.236483,25.000000,-0.073610,-0.073610,0.093308,2.863800,IDM,Mainline
4.300000,26.051086,,22.230005,25.000000,-0.064784,-0.064784,0.088265,2.930400,IDM,Mainline
4.400000,28.273805,,22.224362,25.000000,-0.056433,-0.056433,0.083505,2.997000,IDM,Mainline
4.500000,30.495998,,22.219508,25.000000,-0.048532,-0.048532,0.079009,3.063600,IDM,Mainline
4.600000,32.717744,,22.215403,25.000000,-0.041056,-0.041056,0.074761,3.130200,IDM,Mainline
4.700000,34.939114,,22.212004,25.000000,-0.033982,-0.033982,0.070745,3.196800,IDM,Mainline
4.800000,37.160178,,22.209276,25.000000,-0.027287,-0.027287,0.066945,3.263400,IDM,Mainline
4.900000,39.381001,,22.207181,25.000000,-0.020952,-0.020952,0.063350,3.330000,IDM,Mainline
5.000000,41.601644,,22.205685,25.000000,-0.014958,-0.014958,0.059946,3.396600,IDM,Mainline
5.100000,43.822166,,22.204756,25.000000,-0.009285,-0.009285,0.056722,3.463200,IDM,Mainline
